cpu_usage_pct,ram_usage_gb,network_throughput_mbps,temperature_celsius,server_status
25.34,10.85,547.81,57.12,0
38.2,15.14,576.92,55.67,0
68.54,25.78,837.96,49.45,1
60.57,16.41,534.1,62.18,1
59.18,17.87,505.57,60.12,1
31.7,5.49,810.18,63.36,0
70.57,32.62,536.05,44.61,1
68.7,23.82,417.11,56.66,1
71.95,34.34,593.03,42.23,1
56.78,4.49,812.62,73.25,0
83.95,20.04,586.57,64.94,1
39.77,7.75,433.72,67.34,0
30.56,7.23,50.0,69.73,0
69.27,25.27,371.92,55.48,1
10.0,14.11,365.78,49.03,0
20.48,17.22,138.08,51.7,0
34.59,6.78,274.51,68.58,0
74.7,33.96,534.56,44.3,1
33.63,15.58,541.96,53.9,0
32.68,4.0,50.0,81.71,0
29.11,13.09,293.34,58.31,0
10.0,17.27,50.0,49.44,0
29.37,11.41,392.65,59.48,0
65.75,21.99,712.53,54.77,1
15.7,9.25,678.73,54.45,0
70.15,20.34,298.86,62.97,0
63.06,13.3,547.55,66.91,1
44.8,4.0,332.59,75.97,0
51.2,4.0,577.53,84.12,1
37.1,5.18,321.06,70.99,0
48.84,4.94,745.84,70.67,0
62.82,14.95,518.87,65.01,1
38.88,4.0,207.69,76.21,0
62.51,29.02,1000.0,40.89,1
64.54,4.0,754.09,80.81,1
30.56,10.08,509.83,60.33,0
66.57,31.19,955.5,40.47,1
31.67,10.06,566.36,60.12,0
62.24,19.8,516.19,58.56,1
57.96,18.73,839.3,54.92,1
67.66,19.78,348.0,62.29,1
58.85,21.93,828.86,51.21,1
65.9,23.67,634.22,53.51,1
61.36,4.0,622.16,79.7,1
34.96,4.94,836.52,64.91,0
31.92,6.0,787.96,63.03,0
55.6,4.0,627.48,83.66,1
21.32,8.74,663.6,57.2,0
39.56,8.87,539.95,64.65,0
73.6,9.46,711.39,73.7,1
61.28,25.15,608.87,50.29,1
57.63,4.0,740.53,75.14,0
75.02,28.1,528.79,52.06,1
33.32,5.9,737.17,64.2,0
67.53,12.1,607.4,69.34,1
40.4,6.32,732.54,66.14,0
31.98,6.13,764.36,63.14,0
68.14,29.56,751.6,45.37,1
29.07,4.24,50.0,73.24,0
17.22,11.36,526.49,53.9,0
68.33,35.26,838.5,37.1,1
63.73,21.43,535.59,56.74,1
49.71,5.37,754.51,70.31,0
65.23,6.27,652.26,75.61,1
55.13,19.16,359.01,58.67,1
58.2,4.77,695.81,74.66,0
49.26,4.0,278.83,84.12,0
35.07,8.99,284.54,65.77,0
75.96,6.32,693.06,78.78,1
14.72,25.41,309.06,37.24,0
60.46,4.0,743.1,92.22,1
38.12,5.65,208.46,71.97,0
34.21,7.91,329.36,66.38,0
33.82,8.19,604.7,62.85,0
31.63,4.45,50.0,73.38,0
56.16,20.06,735.97,53.72,1
32.58,13.12,463.0,57.6,0
26.45,10.84,529.83,57.71,0
28.21,4.0,50.0,73.75,0
67.28,36.07,671.39,37.52,1
28.42,4.0,50.0,74.5,0
58.57,22.21,800.52,51.06,1
67.3,4.0,658.79,84.72,1
10.0,11.83,562.42,49.65,0
14.18,16.42,50.0,52.07,0
59.28,5.46,685.39,74.24,1
61.36,20.23,755.46,55.08,1
75.18,31.93,555.97,46.86,1
36.38,6.89,712.23,64.24,0
29.58,9.24,210.85,64.36,0
54.16,5.84,466.46,74.4,1
30.86,8.72,609.75,61.09,0
13.76,15.25,50.0,54.24,0
12.81,28.15,503.46,35.0,0
62.47,28.79,660.83,45.41,1
54.97,4.0,162.89,94.35,0
45.17,6.61,660.83,68.18,0
37.95,8.66,456.53,65.3,0
26.62,7.61,692.08,60.18,0
34.79,5.16,830.73,64.63,0
40.42,6.39,678.97,66.64,0
37.18,6.38,711.38,65.18,0
10.0,22.15,50.0,41.7,0
36.91,4.0,1000.0,67.38,0
38.17,10.75,479.92,62.41,0
60.61,9.77,563.47,70.46,1
63.22,21.14,452.96,57.85,1
70.13,10.66,674.13,71.37,1
35.53,10.28,429.73,62.66,0
24.41,17.0,368.84,50.8,0
66.44,4.0,835.68,80.11,0
59.19,4.0,676.99,85.02,1
27.1,11.04,523.23,57.75,0
18.26,16.18,169.71,51.94,0
23.74,10.4,50.0,63.17,0
48.37,4.0,872.02,72.04,0
60.55,4.0,541.92,87.46,0
57.88,17.34,753.41,57.64,1
64.46,4.0,673.1,87.71,0
63.24,31.8,301.79,45.72,1
32.38,4.29,103.77,72.91,0
50.92,7.82,532.34,70.01,0
73.84,36.46,596.9,40.1,1
34.26,8.89,422.94,64.1,0
30.68,7.79,721.95,61.0,0
31.44,8.35,150.49,66.81,0
39.23,7.94,457.93,66.64,0
54.05,13.76,514.1,63.59,1
65.68,22.75,278.46,58.53,1
29.3,8.76,650.74,60.06,0
31.34,4.0,1000.0,65.11,0
64.5,4.0,792.69,90.87,1
74.75,27.41,455.89,53.67,1
56.84,21.26,948.61,50.07,1
64.64,4.0,716.72,78.87,0
61.53,32.2,335.69,44.24,1
59.92,26.75,805.98,45.59,1
10.0,24.41,127.97,38.27,0
57.16,13.68,510.94,64.79,1
64.32,18.1,445.18,62.25,1
55.62,8.1,588.14,70.64,1
56.79,12.05,586.75,65.95,1
56.38,11.65,461.63,67.7,1
26.73,8.43,637.88,59.75,0
30.99,18.13,507.85,50.08,0
31.74,11.22,329.7,61.23,0
59.41,14.3,557.73,64.26,1
26.04,10.89,459.39,58.27,0
56.41,4.0,887.25,94.6,1
55.64,4.0,620.8,81.86,1
65.71,22.96,437.81,56.52,1
88.13,19.03,685.07,66.6,1
25.76,4.49,886.13,61.78,0
66.87,4.0,758.36,79.63,0
27.41,9.93,536.08,59.15,0
54.15,4.0,653.61,78.85,1
27.92,5.51,874.07,61.33,0
47.74,7.23,576.91,69.18,0
29.77,13.51,350.22,57.37,0
54.5,11.79,651.72,64.78,1
42.24,4.0,126.04,79.96,0
52.3,7.4,493.4,71.44,1
10.0,23.66,50.0,40.84,0
42.92,4.0,273.14,77.47,0
57.74,12.47,569.84,65.92,1
54.78,4.0,876.02,73.42,0
50.39,4.0,213.82,85.37,0
25.64,13.13,350.82,56.43,0
28.23,9.0,590.47,60.04,0
46.81,6.07,672.82,69.32,0
40.29,8.05,607.78,65.22,0
44.56,8.01,544.35,67.43,0
11.55,19.56,50.0,47.4,0
45.51,11.21,334.1,65.93,0
75.83,18.61,593.21,63.93,1
38.09,10.71,359.93,63.75,1
38.65,9.89,450.01,64.01,0
64.19,9.64,558.44,71.92,1
64.47,25.26,588.29,51.47,1
22.35,21.41,399.41,44.05,0
23.06,7.18,720.32,59.2,0
14.32,15.85,50.0,53.94,0
50.13,5.02,577.51,72.86,0
43.98,4.0,214.24,80.81,0
75.88,33.83,492.06,45.35,1
10.0,27.52,100.48,35.0,0
47.19,4.0,441.47,77.34,0
31.26,8.92,637.26,60.67,0
63.04,4.0,350.45,95.0,0
55.89,27.27,1000.0,40.61,1
67.77,24.13,490.07,55.14,1
38.18,7.22,316.37,68.77,0
25.31,14.41,286.0,55.38,0
41.12,4.0,164.03,77.62,0
57.61,5.73,660.03,73.61,0
45.25,4.88,762.22,69.33,0
20.81,6.25,843.39,58.27,0
74.4,29.02,511.22,50.86,1
33.91,8.63,636.3,61.96,0
62.19,23.43,725.11,51.55,1
32.38,5.42,113.56,71.33,0
28.19,10.47,88.84,63.62,0
15.39,9.1,661.56,54.71,0
49.59,4.0,892.68,72.14,0
63.3,19.35,761.76,56.81,1
10.0,11.79,520.43,50.79,0
47.29,4.83,733.02,70.42,0
20.1,14.12,122.69,55.76,0
47.18,5.13,452.86,73.08,0
59.37,4.22,714.8,75.56,0
43.87,4.0,827.11,69.46,0
43.65,6.19,463.52,70.37,0
51.57,7.53,538.75,70.53,0
49.06,4.0,222.08,88.85,0
61.71,25.09,592.0,50.69,1
37.66,5.4,833.0,65.28,0
13.09,20.59,125.12,44.94,0
20.59,7.0,734.41,58.43,0
30.61,8.55,619.97,61.12,0
49.86,4.0,721.38,91.4,1
47.46,4.0,251.93,84.34,0
33.82,4.0,50.0,84.55,0
44.96,4.2,495.48,73.04,0
34.06,4.0,94.83,74.98,0
35.27,9.86,514.37,62.18,0
44.48,4.0,367.77,75.6,0
57.05,4.0,364.43,91.72,0
68.65,4.33,714.27,78.62,1
